vorname,anzahl,geschlecht,position
Marie,36,w,2
Sophie,31,w,2
Emilia,30,w,1
Charlotte,24,w,1
Charlotte,23,w,2
Alexander,21,m,2
Maria,21,w,2
Anton,21,m,1
Elias,21,m,1
Anna,21,w,1
Luise,20,w,2
Oskar,20,m,1
Paul,20,m,1
Lena,18,w,1
Emil,18,m,1
Lina,18,w,1
Jonathan,18,m,1
Mila,18,w,1
Maximilian,17,m,1
Emma,17,w,1
Noah,17,m,1
Mia,17,w,1
Johanna,16,w,2
Ben,16,m,1
Louis,16,m,1
Sophia,15,w,1
Jonas,15,m,1
Anton,14,m,2
Leonard,14,m,1
Milan,14,m,1
Paul,13,m,2
Mira,13,w,1
Adam,13,m,1
Leon,13,m,1
Luca,13,m,1
Theo,13,m,1
Maximilian,12,m,2
Amelie,12,w,1
Clara,12,w,1
Ida,12,w,1
Laura,12,w,1
Mathilda,12,w,1
Nora,12,w,1
Paula,12,w,1
Liam,12,m,1
Lukas,12,m,1
Niklas,12,m,1
Vincent,12,m,1
Elias,11,m,2
Jonathan,11,m,2
Anna,11,w,2
Elisabeth,11,w,2
Ella,11,w,1
Lara,11,w,1
Marie,11,w,1
Maya,11,w,1
Alexander,11,m,1
Felix,11,m,1
Henri,11,m,1
Jakob,11,m,1
Levi,11,m,1
Ali,10,m,2
Sophia,10,w,2
Aurelia,10,w,1
Leonie,10,w,1
Maja,10,w,1
Ali,10,m,1
Arthur,10,m,1
David,10,m,1
Karl,10,m,1
Linus,10,m,1
Milo,10,m,1
Ole,10,m,1
Valentin,10,m,1
Valentin,9,m,2
Emilia,9,w,2
Frieda,9,w,1
Johanna,9,w,1
Mara,9,w,1
Pia,9,w,1
Romy,9,w,1
Sophie,9,w,1
Julius,9,m,1
Moritz,9,m,1
Tim,9,m,1
Alma,8,w,1
Alva,8,w,1
Elena,8,w,1
Frida,8,w,1
Hanna,8,w,1
Hannah,8,w,1
Juna,8,w,1
Carl,8,m,1
Lilly,8,w,1
Finn,8,m,1
Maria,8,w,1
Julian,8,m,1
Pauline,8,w,1
Leo,8,m,1
Rosa,8,w,1
Max,8,m,1
Zoe,8,w,1
Nils,8,m,1
Julian,7,m,2
Karl,7,m,2
Ada,7,w,1
Adrian,7,m,1
Amira,7,w,1
Henry,7,m,1
